"","subject","task","block","display","screen","rt","response","correct","correctResponse","T1.pie","T1.reward","T1.fractalInfo","T1.fractalOut","trial"
"75","1",1,"H","T1Trial","Outcome","336.4","right",1,"right","pie23.png",1,"f0.png","f0.png",75
"76","1",1,"H","T1Trial","Outcome","366.1","left",1,"left","pie1.png",1,"f1.png","f4.png",76
"77","1",1,"H","T1Trial","Outcome","395.2","right",1,"right","pie13.png",0,"f2.png","f7.png",77
"78","1",1,"H","T1Trial","Outcome","391.2","right",1,"right","pie1.png",1,"f1.png","f4.png",78
"79","1",1,"H","T1Trial","Outcome","395.3","right",1,"right","pie13.png",0,"f2.png","f7.png",79
"80","1",1,"H","T1Trial","Outcome","335.6","right",1,"right","pie23.png",1,"f0.png","f0.png",80
"81","1",1,"H","T1Trial","Outcome","757.1","left",1,"left","pie13.png",0,"f2.png","f7.png",81
"82","1",1,"H","T1Trial","Outcome","435.2","left",1,"left","pie13.png",1,"f2.png","f6.png",82
"83","1",1,"H","T1Trial","Outcome","332.7","right",1,"right","pie1.png",1,"f1.png","f4.png",83
"84","1",1,"H","T1Trial","Outcome","435","left",1,"left","pie13.png",1,"f2.png","f6.png",84
"85","1",1,"H","T1Trial","Outcome","397.4","left",1,"left","pie1.png",1,"f1.png","f4.png",85
"86","1",1,"H","T1Trial","Outcome","327.5","right",1,"right","pie1.png",1,"f1.png","f4.png",86
"87","1",1,"H","T1Trial","Outcome","390.9","left",1,"left","pie23.png",0,"f0.png","f0.png",87
"88","1",1,"H","T1Trial","Outcome","419.8","left",1,"left","pie13.png",0,"f2.png","f7.png",88
"89","1",1,"H","T1Trial","Outcome","365.6","right",1,"right","pie23.png",1,"f0.png","f0.png",89
"90","1",1,"H","T1Trial","Outcome","394","right",1,"right","pie13.png",1,"f2.png","f6.png",90
"91","1",1,"H","T1Trial","Outcome","390.4","right",1,"right","pie1.png",1,"f1.png","f4.png",91
"92","1",1,"H","T1Trial","Outcome","362.4","right",1,"right","pie1.png",1,"f1.png","f4.png",92
"93","1",1,"H","T1Trial","Outcome","439.8","left",1,"left","pie13.png",0,"f2.png","f7.png",93
"94","1",1,"H","T1Trial","Outcome","345.7","right",1,"right","pie23.png",1,"f0.png","f0.png",94
"95","1",1,"H","T1Trial","Outcome","359.3","left",1,"left","pie1.png",1,"f1.png","f4.png",95
"96","1",1,"H","T1Trial","Outcome","396.5","left",1,"left","pie1.png",1,"f1.png","f4.png",96
"97","1",1,"H","T1Trial","Outcome","568.1","left",1,"left","pie13.png",0,"f2.png","f7.png",97
"98","1",1,"H","T1Trial","Outcome","382.3","left",1,"left","pie23.png",1,"f0.png","f0.png",98
"99","1",1,"H","T1Trial","Outcome","353.5","right",1,"right","pie1.png",1,"f1.png","f4.png",99
"100","1",1,"H","T1Trial","Outcome","407.8","left",1,"left","pie1.png",1,"f1.png","f4.png",100
"101","1",1,"H","T1Trial","Outcome","411.1","left",1,"left","pie13.png",1,"f2.png","f6.png",101
"102","1",1,"H","T1Trial","Outcome","388.7","left",1,"left","pie23.png",1,"f0.png","f0.png",102
"103","1",1,"H","T1Trial","Outcome","393.3","right",1,"right","pie1.png",1,"f1.png","f4.png",103
"104","1",1,"H","T1Trial","Outcome","390.2","left",1,"left","pie13.png",0,"f2.png","f7.png",104
"105","1",1,"H","T1Trial","Outcome","433.8","left",1,"left","pie13.png",0,"f2.png","f7.png",105
"106","1",1,"H","T1Trial","Outcome","380.2","right",1,"right","pie23.png",1,"f0.png","f0.png",106
"107","1",1,"H","T1Trial","Outcome","431.8","left",1,"left","pie23.png",0,"f0.png","f0.png",107
"108","1",1,"H","T1Trial","Outcome","441.9","right",1,"right","pie13.png",0,"f2.png","f7.png",108
"109","1",1,"H","T1Trial","Outcome","356","left",1,"left","pie13.png",0,"f2.png","f7.png",109
"110","1",1,"H","T1Trial","Outcome","345.3","right",1,"right","pie23.png",1,"f0.png","f0.png",110
"111","1",1,"H","T1Trial","Outcome","424.1","right",1,"right","pie13.png",1,"f2.png","f6.png",111
"112","1",1,"H","T1Trial","Outcome","386.5","right",1,"right","pie23.png",0,"f0.png","f0.png",112
"113","1",1,"H","T1Trial","Outcome","382.7","right",1,"right","pie13.png",0,"f2.png","f7.png",113
"114","1",1,"H","T1Trial","Outcome","402.2","right",1,"right","pie13.png",1,"f2.png","f6.png",114
"115","1",1,"H","T1Trial","Outcome","406.4","left",1,"left","pie23.png",0,"f0.png","f0.png",115
"116","1",1,"H","T1Trial","Outcome","385.1","left",1,"left","pie23.png",1,"f0.png","f0.png",116
"117","1",1,"H","T1Trial","Outcome","397.2","left",1,"left","pie13.png",0,"f2.png","f7.png",117
"118","1",1,"H","T1Trial","Outcome","457.1","left",1,"left","pie1.png",1,"f1.png","f4.png",118
"119","1",1,"H","T1Trial","Outcome","369.6","right",1,"right","pie13.png",1,"f2.png","f6.png",119
"120","1",1,"H","T1Trial","Outcome","390.2","left",1,"left","pie23.png",1,"f0.png","f0.png",120
"121","1",1,"H","T1Trial","Outcome","362.5","right",1,"right","pie1.png",1,"f1.png","f4.png",121
"122","1",1,"H","T1Trial","Outcome","487.5","right",1,"right","pie13.png",0,"f2.png","f7.png",122
"123","1",1,"H","T1Trial","Outcome","400.3","right",1,"right","pie23.png",0,"f0.png","f0.png",123
"124","1",1,"H","T1Trial","Outcome","395.5","right",1,"right","pie1.png",1,"f1.png","f4.png",124
"125","1",1,"H","T1Trial","Outcome","374.6","right",1,"right","pie23.png",1,"f0.png","f0.png",125
"126","1",1,"H","T1Trial","Outcome","396.3","left",1,"left","pie23.png",1,"f0.png","f0.png",126
"127","1",1,"H","T1Trial","Outcome","320.6","right",1,"right","pie23.png",1,"f0.png","f0.png",127
"128","1",1,"H","T1Trial","Outcome","415","right",1,"right","pie13.png",1,"f2.png","f6.png",128
"129","1",1,"H","T1Trial","Outcome","424.7","left",1,"left","pie1.png",1,"f1.png","f4.png",129
"130","1",1,"H","T1Trial","Outcome","411.7","left",1,"left","pie23.png",1,"f0.png","f0.png",130
"131","1",1,"H","T1Trial","Outcome","431.5","left",1,"left","pie1.png",1,"f1.png","f4.png",131
"132","1",1,"H","T1Trial","Outcome","496.8","left",1,"left","pie13.png",0,"f2.png","f7.png",132
"133","1",1,"H","T1Trial","Outcome","384.6","right",1,"right","pie13.png",0,"f2.png","f7.png",133
"134","1",1,"H","T1Trial","Outcome","380.2","left",1,"left","pie1.png",1,"f1.png","f4.png",134
"135","1",1,"H","T1Trial","Outcome","464.8","right",1,"right","pie23.png",1,"f0.png","f0.png",135
"136","1",1,"H","T1Trial","Outcome","449.6","left",1,"left","pie23.png",0,"f0.png","f0.png",136
"137","1",1,"H","T1Trial","Outcome","370.3","right",1,"right","pie1.png",1,"f1.png","f4.png",137
"138","1",1,"H","T1Trial","Outcome","463.7","left",1,"left","pie13.png",0,"f2.png","f7.png",138
"139","1",1,"H","T1Trial","Outcome","448.2","left",1,"left","pie1.png",1,"f1.png","f4.png",139
"140","1",1,"H","T1Trial","Outcome","401.3","right",1,"right","pie1.png",1,"f1.png","f4.png",140
"141","1",1,"H","T1Trial","Outcome","483.8","right",1,"right","pie23.png",0,"f0.png","f0.png",141
"142","1",1,"H","T1Trial","Outcome","421.3","left",1,"left","pie1.png",1,"f1.png","f4.png",142
"143","1",1,"H","T1Trial","Outcome","359.9","right",1,"right","pie23.png",0,"f0.png","f0.png",143
"144","1",1,"H","T1Trial","Outcome","444.5","left",1,"left","pie1.png",1,"f1.png","f4.png",144
"145","2",1,"H","T1Trial","Outcome","450.9","right",1,"right","pie23.png",0,"f0.png","f0.png",1
"146","2",1,"H","T1Trial","Outcome","423.1","right",1,"right","pie23.png",1,"f0.png","f0.png",2
"147","2",1,"H","T1Trial","Outcome","572.7","left",1,"left","pie13.png",0,"f2.png","f6.png",3
"148","2",1,"H","T1Trial","Outcome","457.9","left",1,"left","pie1.png",1,"f1.png","f4.png",4
"149","2",1,"H","T1Trial","Outcome","539.1","right",1,"right","pie1.png",1,"f1.png","f4.png",5
"150","2",1,"H","T1Trial","Outcome","569.3","left",1,"left","pie1.png",1,"f1.png","f4.png",6
"151","2",1,"H","T1Trial","Outcome","493.3","right",1,"right","pie1.png",1,"f1.png","f4.png",7
"152","2",1,"H","T1Trial","Outcome","613.8","right",1,"right","pie23.png",0,"f0.png","f0.png",8
"153","2",1,"H","T1Trial","Outcome","450.1","left",1,"left","pie1.png",1,"f1.png","f4.png",9
"154","2",1,"H","T1Trial","Outcome","692.9","right",1,"right","pie13.png",0,"f2.png","f6.png",10
"155","2",1,"H","T1Trial","Outcome","711.8","left",1,"left","pie13.png",0,"f2.png","f6.png",11
"156","2",1,"H","T1Trial","Outcome","665.2","left",1,"left","pie13.png",0,"f2.png","f6.png",12
"157","2",1,"H","T1Trial","Outcome","618.2","right",1,"right","pie23.png",0,"f0.png","f0.png",13
"158","2",1,"H","T1Trial","Outcome","578.6","left",1,"left","pie23.png",0,"f0.png","f0.png",14
"159","2",1,"H","T1Trial","Outcome","535","right",1,"right","pie1.png",1,"f1.png","f4.png",15
"160","2",1,"H","T1Trial","Outcome","586.3","right",1,"right","pie1.png",1,"f1.png","f4.png",16
"161","2",1,"H","T1Trial","Outcome","536","right",1,"right","pie13.png",0,"f2.png","f6.png",17
"162","2",1,"H","T1Trial","Outcome","550.1","right",1,"right","pie1.png",1,"f1.png","f4.png",18
"163","2",1,"H","T1Trial","Outcome","482.6","right",1,"right","pie23.png",1,"f0.png","f0.png",19
"164","2",1,"H","T1Trial","Outcome","840","right",1,"right","pie23.png",0,"f0.png","f0.png",20
"165","2",1,"H","T1Trial","Outcome","465.4","right",1,"right","pie1.png",1,"f1.png","f4.png",21
"166","2",1,"H","T1Trial","Outcome","474.6","left",1,"left","pie1.png",1,"f1.png","f4.png",22
"167","2",1,"H","T1Trial","Outcome","659.5","right",1,"right","pie23.png",1,"f0.png","f0.png",23
"168","2",1,"H","T1Trial","Outcome","731.6","right",1,"right","pie23.png",1,"f0.png","f0.png",24
"169","2",1,"H","T1Trial","Outcome","577.1","right",1,"right","pie23.png",0,"f0.png","f0.png",25
"170","2",1,"H","T1Trial","Outcome","557.7","right",1,"right","pie13.png",1,"f2.png","f7.png",26
"171","2",1,"H","T1Trial","Outcome","530.3","left",1,"left","pie1.png",1,"f1.png","f4.png",27
"172","2",1,"H","T1Trial","Outcome","912.1","left",1,"left","pie23.png",1,"f0.png","f0.png",28
"173","2",1,"H","T1Trial","Outcome","566.3","left",1,"left","pie1.png",1,"f1.png","f4.png",29
"174","2",1,"H","T1Trial","Outcome","548.3","right",1,"right","pie13.png",1,"f2.png","f7.png",30
"175","2",1,"H","T1Trial","Outcome","438.5","left",1,"left","pie1.png",1,"f1.png","f4.png",31
"176","2",1,"H","T1Trial","Outcome","706.6","right",1,"right","pie23.png",1,"f0.png","f0.png",32
"177","2",1,"H","T1Trial","Outcome","847.3","right",1,"right","pie23.png",1,"f0.png","f0.png",33
"178","2",1,"H","T1Trial","Outcome","400.5","right",1,"right","pie13.png",1,"f2.png","f7.png",34
"179","2",1,"H","T1Trial","Outcome","679.4","right",1,"right","pie23.png",1,"f0.png","f0.png",35
"180","2",1,"H","T1Trial","Outcome","603.4","right",1,"right","pie23.png",0,"f0.png","f0.png",36
"181","2",1,"H","T1Trial","Outcome","441.6","right",1,"right","pie23.png",1,"f0.png","f0.png",37
"182","2",1,"H","T1Trial","Outcome","547.2","left",1,"left","pie23.png",1,"f0.png","f0.png",38
"183","2",1,"H","T1Trial","Outcome","378.8","right",1,"right","pie1.png",1,"f1.png","f4.png",39
"184","2",1,"H","T1Trial","Outcome","456.4","right",1,"right","pie23.png",1,"f0.png","f0.png",40
"185","2",1,"H","T1Trial","Outcome","802.9","right",1,"right","pie13.png",0,"f2.png","f6.png",41
"186","2",1,"H","T1Trial","Outcome","679.8","right",1,"right","pie13.png",0,"f2.png","f6.png",42
"187","2",1,"H","T1Trial","Outcome","653.7","left",1,"left","pie1.png",1,"f1.png","f4.png",43
"188","2",1,"H","T1Trial","Outcome","624.7","left",1,"left","pie1.png",1,"f1.png","f4.png",44
"189","2",1,"H","T1Trial","Outcome","598.4","right",1,"right","pie1.png",1,"f1.png","f4.png",45
"190","2",1,"H","T1Trial","Outcome","638.2","right",1,"right","pie23.png",1,"f0.png","f0.png",46
"191","2",1,"H","T1Trial","Outcome","356.6","right",1,"right","pie13.png",0,"f2.png","f6.png",47
"192","2",1,"H","T1Trial","Outcome","646.6","right",1,"right","pie13.png",0,"f2.png","f6.png",48
"193","2",1,"H","T1Trial","Outcome","504.6","left",1,"left","pie13.png",1,"f2.png","f7.png",49
"194","2",1,"H","T1Trial","Outcome","538.1","left",1,"left","pie13.png",0,"f2.png","f6.png",50
"195","2",1,"H","T1Trial","Outcome","697.6","left",1,"left","pie13.png",0,"f2.png","f6.png",51
"196","2",1,"H","T1Trial","Outcome","576.4","right",1,"right","pie13.png",1,"f2.png","f7.png",52
"197","2",1,"H","T1Trial","Outcome","810.6","right",1,"right","pie13.png",1,"f2.png","f7.png",53
"198","2",1,"H","T1Trial","Outcome","445.8","left",1,"left","pie1.png",1,"f1.png","f4.png",54
"199","2",1,"H","T1Trial","Outcome","594.7","left",1,"left","pie13.png",0,"f2.png","f6.png",55
"200","2",1,"H","T1Trial","Outcome","479","right",1,"right","pie23.png",0,"f0.png","f0.png",56
"201","2",1,"H","T1Trial","Outcome","534.9","left",1,"left","pie1.png",1,"f1.png","f4.png",57
"202","2",1,"H","T1Trial","Outcome","471.2","left",1,"left","pie13.png",1,"f2.png","f7.png",58
"203","2",1,"H","T1Trial","Outcome","594.6","left",1,"left","pie1.png",1,"f1.png","f4.png",59
"204","2",1,"H","T1Trial","Outcome","423.2","right",1,"right","pie1.png",1,"f1.png","f4.png",60
"205","2",1,"H","T1Trial","Outcome","599.7","right",1,"right","pie13.png",0,"f2.png","f6.png",61
"206","2",1,"H","T1Trial","Outcome","493.3","left",1,"left","pie23.png",1,"f0.png","f0.png",62
"207","2",1,"H","T1Trial","Outcome","670","right",1,"right","pie23.png",1,"f0.png","f0.png",63
"208","2",1,"H","T1Trial","Outcome","531.7","left",1,"left","pie1.png",1,"f1.png","f4.png",64
"209","2",1,"H","T1Trial","Outcome","545.8","right",1,"right","pie23.png",1,"f0.png","f0.png",65
"210","2",1,"H","T1Trial","Outcome","677.4","left",1,"left","pie1.png",1,"f1.png","f4.png",66
"211","2",1,"H","T1Trial","Outcome","630","right",1,"right","pie1.png",1,"f1.png","f4.png",67
"212","2",1,"H","T1Trial","Outcome","723","left",1,"left","pie13.png",0,"f2.png","f6.png",68
"213","2",1,"H","T1Trial","Outcome","660","right",1,"right","pie13.png",1,"f2.png","f7.png",69
"214","2",1,"H","T1Trial","Outcome","635.9","right",1,"right","pie23.png",1,"f0.png","f0.png",70
"215","2",1,"H","T1Trial","Outcome","760.6","left",1,"left","pie13.png",0,"f2.png","f6.png",71
"216","2",1,"H","T1Trial","Outcome","615.2","right",1,"right","pie13.png",0,"f2.png","f6.png",72
"217","2",1,"L","T1Trial","Outcome","435.3","right",1,"right","pie13.png",1,"f3.png","f7.png",73
"218","2",1,"L","T1Trial","Outcome","1341.5","right",1,"right","pie13.png",0,"f3.png","f6.png",74
"219","2",1,"L","T1Trial","Outcome","478.7","left",1,"left","pie0.png",0,"f0.png","f5.png",75
"220","2",1,"L","T1Trial","Outcome","791.5","right",1,"right","pie23.png",0,"f0.png","f0.png",76
"221","2",1,"L","T1Trial","Outcome","597.6","left",1,"left","pie23.png",1,"f0.png","f0.png",77
"222","2",1,"L","T1Trial","Outcome","576.5","right",1,"right","pie13.png",0,"f3.png","f6.png",78
"223","2",1,"L","T1Trial","Outcome","742","right",1,"right","pie23.png",1,"f0.png","f0.png",79
"224","2",1,"L","T1Trial","Outcome","672.8","left",1,"left","pie23.png",0,"f0.png","f0.png",80
"225","2",1,"L","T1Trial","Outcome","764.3","right",1,"right","pie0.png",0,"f0.png","f5.png",81
"226","2",1,"L","T1Trial","Outcome","544.7","right",0,"left","pie0.png",0,"f0.png","f5.png",82
"227","2",1,"L","T1Trial","Outcome","534.8","right",1,"right","pie0.png",0,"f0.png","f5.png",83
"228","2",1,"L","T1Trial","Outcome","719.7","right",1,"right","pie0.png",0,"f0.png","f5.png",84
"229","2",1,"L","T1Trial","Outcome","698.7","right",1,"right","pie23.png",1,"f0.png","f0.png",85
"230","2",1,"L","T1Trial","Outcome","684.5","left",1,"left","pie0.png",0,"f0.png","f5.png",86
"231","2",1,"L","T1Trial","Outcome","879.4","left",1,"left","pie23.png",1,"f0.png","f0.png",87
"232","2",1,"L","T1Trial","Outcome","615.2","left",1,"left","pie23.png",0,"f0.png","f0.png",88
"233","2",1,"L","T1Trial","Outcome","649.2","left",1,"left","pie23.png",1,"f0.png","f0.png",89
"234","2",1,"L","T1Trial","Outcome","1165.8","left",1,"left","pie13.png",0,"f3.png","f6.png",90
"235","2",1,"L","T1Trial","Outcome","762.6","left",1,"left","pie23.png",1,"f0.png","f0.png",91
"236","2",1,"L","T1Trial","Outcome","475.3","right",1,"right","pie13.png",1,"f3.png","f7.png",92
"237","2",1,"L","T1Trial","Outcome","375.2","right",1,"right","pie0.png",0,"f0.png","f5.png",93
"238","2",1,"L","T1Trial","Outcome","408.5","left",1,"left","pie0.png",0,"f0.png","f5.png",94
"239","2",1,"L","T1Trial","Outcome","508.6","right",1,"right","pie13.png",0,"f3.png","f6.png",95
"240","2",1,"L","T1Trial","Outcome","349.1","left",1,"left","pie0.png",0,"f0.png","f5.png",96
"241","2",1,"L","T1Trial","Outcome","528.8","right",1,"right","pie23.png",0,"f0.png","f0.png",97
"242","2",1,"L","T1Trial","Outcome","658.1","left",1,"left","pie13.png",0,"f3.png","f6.png",98
"243","2",1,"L","T1Trial","Outcome","397.6","right",1,"right","pie0.png",0,"f0.png","f5.png",99
"244","2",1,"L","T1Trial","Outcome","580.4","right",1,"right","pie23.png",1,"f0.png","f0.png",100
"245","2",1,"L","T1Trial","Outcome","774.8","right",1,"right","pie13.png",1,"f3.png","f7.png",101
"246","2",1,"L","T1Trial","Outcome","754.8","left",1,"left","pie13.png",0,"f3.png","f6.png",102
"247","2",1,"L","T1Trial","Outcome","534.2","right",1,"right","pie23.png",0,"f0.png","f0.png",103
"248","2",1,"L","T1Trial","Outcome","797.4","left",1,"left","pie13.png",0,"f3.png","f6.png",104
"249","2",1,"L","T1Trial","Outcome","584.6","left",1,"left","pie13.png",1,"f3.png","f7.png",105
"250","2",1,"L","T1Trial","Outcome","738.7","right",1,"right","pie23.png",1,"f0.png","f0.png",106
"251","2",1,"L","T1Trial","Outcome","718","left",1,"left","pie13.png",1,"f3.png","f7.png",107
"252","2",1,"L","T1Trial","Outcome","736.6","right",1,"right","pie13.png",0,"f3.png","f6.png",108
"253","2",1,"L","T1Trial","Outcome","556.7","left",1,"left","pie0.png",0,"f0.png","f5.png",109
"254","2",1,"L","T1Trial","Outcome","609","left",1,"left","pie23.png",1,"f0.png","f0.png",110
"255","2",1,"L","T1Trial","Outcome","650.8","right",1,"right","pie0.png",0,"f0.png","f5.png",111
"256","2",1,"L","T1Trial","Outcome","635.8","left",1,"left","pie23.png",0,"f0.png","f0.png",112
"257","2",1,"L","T1Trial","Outcome","534.4","left",1,"left","pie23.png",1,"f0.png","f0.png",113
"258","2",1,"L","T1Trial","Outcome","465.2","right",1,"right","pie23.png",0,"f0.png","f0.png",114
"259","2",1,"L","T1Trial","Outcome","611.5","right",0,"left","pie0.png",0,"f0.png","f5.png",115
"260","2",1,"L","T1Trial","Outcome","776.1","left",1,"left","pie13.png",0,"f3.png","f6.png",116
"261","2",1,"L","T1Trial","Outcome","818.5","right",1,"right","pie13.png",0,"f3.png","f6.png",117
"262","2",1,"L","T1Trial","Outcome","881.7","left",1,"left","pie23.png",0,"f0.png","f0.png",118
